ProdCode,Customer,ProdName,ArticleNum,MatNum,OpSystem,DBAccName,DBAccVers,HostName,WkStNmae,AdpNum,ProcName,ProcNum,WkOrder,AVO,TPVersion,tLogIn,tLogOut,tLastAcc,tLatenz,tLatenzSumme,tCycle,tProc,FPY,CountPass,CountFail,CountPass_Retest,CountFail_Retest
6221,BSH,ASM Elektronik UI ES,30003455-05BF,30003455-05BF,Win7/Srv,DBAcc2000,1.16.3,KATPC221,,,Programmierung,9,,,1.15:315392:071,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:27,1951,4980,436.45,350.81,96.88,62,2,0,0
7078,BSH,MMU Jupiter/Saturn V,13600518-20,13600518-20,Win7/Srv,DBAcc2000,1.16.0,KATPC164,0370/A,03/16/2360/02/A,FKTHand,19,1258984,0040,,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:59,0,570,81.29,81.03,82.39,276,59,19,0
6012,Telic,ELT-Main 74370.000 R,13603086-01BF,,Win8/Srv,DBAcc2000,1.0016.0012,KATPC409,0493/A,16409,Prog_CustSw,14,,,1.0.4:339968:21,10/10/2022 22:00,10/10/2022 23:28,10/10/2022 23:25,148,1890,230.91,80.3,100,23,0,0,0
6423,Telic,ELT 05204.007 ESIM-I,30003970-01,30003970-01,Win8/Srv,DBAcc2000,1.0016.0017,KATPC241,0536/A,17211,Endtest,5,,,1.4.3:802816:01,10/10/2022 22:00,10/10/2022 23:39,10/10/2022 23:39,0,60,68,58.64,96,24,1,1,0
6687,BSH,LP IaB BO62 Gl,10000033,,Win7/Srv,DBAcc2000,1.16.7,KATPC345,,,Twister,10,,,,10/10/2022 22:00,10/10/2022 22:28,10/10/2022 22:13,870,900,184.8,29.15,81.82,9,2,4,0
7058,Tremec,TRC75_C6_063.0_02,10000127,20000064,Win7/Srv,DBAcc2000,1.0016.0012,KATPC190,0375/A,08/16/2420/01/B,SealIntegrity,12,,,1.57:69632:2007,10/10/2022 22:00,10/10/2022 22:23,10/10/2022 22:18,240,270,453,68.29,100,7,0,0,0
5895,BSH,ED_MMB_STM32F4_V2,13602566-04BF,,Win7/Srv,DBAcc2000,1.16.3,KATPC247,331,10/13/2163/01/A,NutzTrenn,5,,,,10/10/2022 22:00,10/11/2022 1:37,10/10/2022 22:00,0,,,0,100,0,0,0,0
5438,BSH,LP MMU JupiterSaturn,13601338-03BF,,Win7/Srv,DBAcc2000,1.16.3,KATPC268,0438/A,03/15/2123/02/A,FKTHand,19,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
6221,BSH,ASM Elektronik UI ES,30003455-05BF,30003455-05BF,Win7/Srv,DBAcc2000,1.16.3,KATPC220,,,Programmierung,9,,,1.15:315392:071,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:21,2282,6930,450.82,331.61,100,61,0,0,0
7020,BSH,COMGen2 ADM 80010814,13602774-06,,Win8/Srv,DBAcc2000,1.0016.0012,KATPC009,0474/A,03/21/4161/03/A,HF_Katek_MT,23,,,1.3.7:581632:06,10/10/2022 22:00,10/10/2022 23:20,10/10/2022 23:15,148,1620,49.63,37.22,92.31,84,7,1,12
4605,BSH,LP IaB EOX5100,13602503-03BF,,Win7/Srv,DBAcc2000,1.16.1,KATPC181,0373/A,06/16/2415/01/A,EndMontage,7,,,1.33:225280:201,10/10/2022 22:00,,10/10/2022 22:00,0,,,0,100,0,0,0,0
